latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20.80471,94.02459,305.94,1.05,1.02,2026-03-04,0249,T,32,6.1NRT,295.26,4.74,D
20.16166,97.92172,309.92,1.18,1.08,2026-03-04,0249,T,65,6.1NRT,295.85,8.71,D
19.97223,98.98851,311.67,1.37,1.16,2026-03-04,0249,T,69,6.1NRT,293.9,14.4,D
20.61123,94.49968,311.51,1.02,1.01,2026-03-04,0249,T,60,6.1NRT,298.99,4.86,D
20.60992,94.50916,313.38,1.02,1.01,2026-03-04,0249,T,65,6.1NRT,299.24,6.29,D
20.04095,98.31282,305.26,1.24,1.11,2026-03-04,0249,T,49,6.1NRT,295.11,5.59,D
20.39329,95.76589,313.28,1,1,2026-03-04,0249,T,61,6.1NRT,301.6,4.81,D
20.56614,94.1551,307.53,1.04,1.02,2026-03-04,0249,T,47,6.1NRT,295.61,4.42,D
20.09124,97.41159,311.81,1.12,1.05,2026-03-04,0249,T,67,6.1NRT,296.84,7.5,D
20.08957,97.42235,317.42,1.12,1.05,2026-03-04,0249,T,75,6.1NRT,296.12,13.59,D
20.48743,94.53273,311.92,1.02,1.01,2026-03-04,0249,T,61,6.1NRT,299.54,5.1,D
20.05222,97.43191,308.04,1.12,1.06,2026-03-04,0249,T,56,6.1NRT,295.09,6.37,D
33.74261,70.70488,316.9,1.22,1.1,2026-03-04,0425,T,76,6.1NRT,287.35,18.37,D
33.74118,70.71733,320.55,1.22,1.1,2026-03-04,0425,T,79,6.1NRT,289.64,23.07,D
32.99601,75.0232,307.71,1.03,1.02,2026-03-04,0425,T,63,6.1NRT,296.24,5.32,D
33.21054,72.47814,310.13,1.04,1.02,2026-03-04,0425,T,61,6.1NRT,295.62,5.58,D
32.54399,76.45539,308.7,1.16,1.07,2026-03-04,0425,T,59,6.1NRT,293.15,10.21,D
33.2301,70.79496,308.73,1.19,1.09,2026-03-04,0425,T,51,6.1NRT,295.79,5.77,D
32.95602,72.59506,311.51,1.03,1.01,2026-03-04,0425,T,64,6.1NRT,296.39,6.62,D
32.37941,73.09521,307.72,1.01,1,2026-03-04,0425,T,61,6.1NRT,293.22,6.03,D
32.39343,72.86346,305.42,1.01,1.01,2026-03-04,0425,T,54,6.1NRT,293.87,4.53,D
31.98516,75.38287,306.79,1.07,1.03,2026-03-04,0425,T,64,6.1NRT,292.57,6.88,D
32.38396,72.24997,313.59,1.04,1.02,2026-03-04,0425,T,70,6.1NRT,293.44,10.41,D
32.38255,72.26067,304.04,1.04,1.02,2026-03-04,0425,T,32,6.1NRT,293.01,3.88,D
32.13148,72.42056,305.98,1.03,1.01,2026-03-04,0425,T,52,6.1NRT,294.31,4.66,D
31.07085,77.86089,309.14,1.46,1.19,2026-03-04,0425,T,68,6.1NRT,293.58,15.02,D
31.79974,70.98882,316.85,1.13,1.06,2026-03-04,0425,T,72,6.1NRT,295.34,14.33,D
31.73245,70.70882,312.27,1.16,1.07,2026-03-04,0425,T,64,6.1NRT,295.55,9.4,D
31.61304,70.77924,317.53,1.15,1.07,2026-03-04,0425,T,73,6.1NRT,294.94,15.1,D
31.49128,70.66292,308.38,1.16,1.07,2026-03-04,0425,T,53,6.1NRT,295.62,6.98,D
31.43943,70.77443,311.67,1.14,1.07,2026-03-04,0425,T,63,6.1NRT,296.48,8.69,D
31.42239,70.91367,311.57,1.13,1.06,2026-03-04,0425,T,63,6.1NRT,294.21,9.95,D
31.39399,70.99098,310.1,1.12,1.05,2026-03-04,0425,T,47,6.1NRT,295.51,6.84,D
31.38474,70.98947,318.59,1.12,1.05,2026-03-04,0425,T,74,6.1NRT,295.49,15.47,D
30.09773,76.9196,306.75,1.34,1.15,2026-03-04,0425,T,62,6.1NRT,294.91,7.8,D
30.75638,72.21334,331.64,1.02,1.01,2026-03-04,0425,T,86,6.1NRT,298.2,28.81,D
30.75497,72.22366,325.38,1.02,1.01,2026-03-04,0425,T,82,6.1NRT,296.84,20.98,D
30.80112,70.88522,307.06,1.12,1.05,2026-03-04,0425,T,50,6.1NRT,294.6,6.27,D
30.253,70.92956,309.27,1.1,1.05,2026-03-04,0425,T,57,6.1NRT,296.71,6.02,D
30.17929,70.93352,309.76,1.1,1.04,2026-03-04,0425,T,59,6.1NRT,297.23,6.12,D
